Post
"As everyone knows, the Country of Canada has treated the United States very unfairly for decades. Now, things are turning around for the U.S.A., and FAST! But imagine, Canada is building a massive bridge between Ontario and Michigan. They own both the Canada and the United States side and, of course, built it with virtually no U.S. content. President Barack Hussein Obama stupidly gave them a waiver so they could get around the BUY AMERICAN Act, and not use any American products, including our Steel. Now, the Canadian Government expects me, as President of the United States, to PERMIT them to just “take advantage of America!” What does the United States of America get — Absolutely NOTHING! Ontario won't even put U.S. spirits, beverages, and other alcoholic products, on their shelves, they are absolutely prohibited from doing so and now, on top of everything else, Prime Minister Carney wants to make a deal with China — which will eat Canada alive. We’ll just get the leftovers! I don't think so. The first thing China will do is terminate ALL Ice Hockey being played in Canada, and permanently eliminate The Stanley Cup. The Tariffs Canada charges us for our Dairy products have, for many years, been unacceptable, putting our Farmers at great financial risk. I will not allow this bridge to open until the United States is fully compensated for everything we have given them, and also, importantly, Canada treats the United States with the Fairness and Respect that we deserve. We will start negotiations, IMMEDIATELY. With all that we have given them, we should own, perhaps, at least one half of this asset. The revenues generated because of the U.S. Market will be astronomical. Thank you for your attention to this matter!PRESIDENT DONALD J. TRUMP"
"RT@realDonaldTrumpHighly Respected Prime Minister of Hungary, Viktor Orbán, is a truly strong and powerful Leader, with a proven track record of delivering phenomenal results. He fights tirelessly for, and loves, his Great Country and People, just like I do for the United States of America. Viktor works hard to Protect Hungary, Grow the Economy, Create Jobs, Promote Trade, Stop Illegal Immigration, and Ensure LAW AND ORDER! Relations between Hungary and the United States have reached new heights of cooperation and spectacular achievement under my Administration, thanks largely to Prime Minister Orbán. I look forward to continuing working closely with him so that both of our Countries can further advance this tremendous path to SUCCESS and cooperation. I was proud to ENDORSE Viktor for Re-Election in 2022, and am honored to do so again. Viktor Orbán is a true friend, fighter, and WINNER, and has my Complete and Total Endorsement for Re-Election as Prime Minister of Hungary — HE WILL NEVER LET THE GREAT PEOPLE OF HUNGARY DOWN! PRESIDENT DONALD J. TRUMP"
California governor race thrown into chaos as Democrat candidate Eric Swalwell is accused of lying about living in state:https://www.dailymail.co.uk/news/article-15463777/California-governor-race-Democrat-candidate-Eric-Swalwell-lying-living-state.html
RT@PeterNavarro🚨THE DOW HITS 50k.The triumph of@RealDonaldTrump& Trumponomics.How do you like them apples?!
"The Super Bowl Halftime Show is absolutely terrible, one of the worst, EVER! It makes no sense, is an affront to the Greatness of America, and doesn’t represent our standards of Success, Creativity, or Excellence. Nobody understands a word this guy is saying, and the dancing is disgusting, especially for young children that are watching from throughout the U.S.A., and all over the World. This “Show” is just a “slap in the face” to our Country, which is setting new standards and records every single day — including the Best Stock Market and 401(k)s in History! There is nothing inspirational about this mess of a Halftime Show and watch, it will get great reviews from the Fake News Media, because they haven’t got a clue of what is going on in the REAL WORLD — And, by the way, the NFL should immediately replace its ridiculous new Kickoff Rule. MAKE AMERICA GREAT AGAIN! President DONALD J. TRUMP"
"Enjoy the Super Bowl, America! Our Country is stronger, bigger, and better than ever before and, THE BEST IS YET TO COME! PRESIDENT DONALD J. TRUMP"
"Record Stock Market, and National Security, driven by our Great TARIFFS. I am predicting 100,000 on the DOW by the end of my Term. REMEMBER, TRUMP WAS RIGHT ABOUT EVERYTHING! I hope the United States Supreme Court is watching."
Great job by Michael and Susan Dell onhttps://InvestAmerica.org— These are truly spectacular people!
"Congratulations to Prime Minister Sanae Takaichi and her Coalition on a LANDSLIDE Victory in today’s very important Vote. She is a highly respected and very popular Leader. Sanae’s bold and wise decision to call for an Election paid off big time. Her Party now runs the Legislature, holding a HISTORIC TWO THIRDS SUPERMAJORITY — The first time since World War Il. Sanae: It was my Honor to Endorse you and your Coalition. I wish you Great Success in passing your Conservative, Peace Through Strength Agenda. The wonderful people of Japan, who voted with such enthusiasm, will always have my strong support. PRESIDENT DONALD J. TRUMP"
"America’s Elections are Rigged, Stolen, and a Laughingstock all over the World. We are either going to fix them, or we won’t have a Country any longer. I am asking all Republicans to fight for the following:SAVE AMERICA ACT!1. ALL VOTERS MUST SHOW VOTER ID (IDENTIFICATION!).2. ALL VOTERS MUST SHOW PROOF OF UNITED STATES CITIZENSHIP TO REGISTER FOR VOTING.3. NO MAIL-IN BALLOTS (EXCEPT FOR ILLNESS, DISABILITY, MILITARY, OR TRAVEL!)."
